Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH,1,Battery,
BT2,custombatteryconnector_small,1,Battery,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",Diode_SOD123_SMD,62,D,
PWR1,Switch_MSK12C02,1,SW_DPDT_x2,
RST1,Button_MJTP1250,1,SW_Push_45deg,
"S1, S2",STAB_MX_2.25u,2,MX_stab,
S3,STAB_MX_2.75u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW39, SW4, SW40, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW55, SW6, SW60, SW61, SW62, SW7, SW8, SW9",MX 1U,53,SW_Push_45deg,
"SW14, SW54",MX 1.5U,2,SW_Push_45deg,
SW28,MX 1.75 STP 1.25,1,SW_Push_45deg,
SW38,MX 1.75U,1,SW_Push_45deg,
"SW41, SW57",MX 2.25U,2,SW_Push_45deg,
"SW56, SW59",MX 1.25U,2,SW_Push_45deg,
SW58,MX 2.75U,1,SW_Push_45deg,
